landmark,points
nose,"[[758, 470, -0.1827678680419922], [698, 468, -0.1355517953634262], [695, 453, -0.14986921846866608], [700, 449, -0.07652895152568817], [676, 422, -0.1046019047498703], [715, 416, -0.020113537088036537], [827, 400, -0.06514471024274826], [1016, 388, 0.11782170087099075], [1119, 418, -0.043352145701646805]]"
left_eye_inner,"[[752, 458, -0.16626983880996704], [692, 458, -0.12294300645589828], [688, 441, -0.1348121017217636], [693, 436, -0.06573482602834702], [669, 411, -0.09193115681409836], [706, 404, -0.015000076033174992], [819, 387, -0.0512809194624424], [1009, 378, 0.1156899556517601], [1113, 410, -0.03500356897711754]]"
left_eye,"[[752, 457, -0.16626864671707153], [692, 457, -0.12295722961425781], [688, 441, -0.13478614389896393], [693, 435, -0.0657438337802887], [669, 410, -0.09189760684967041], [704, 403, -0.015010242350399494], [817, 386, -0.051217906177043915], [1007, 378, 0.11570654064416885], [1112, 410, -0.03494499996304512]]"
left_eye_outer,"[[752, 457, -0.16629838943481445], [692, 457, -0.12296544760465622], [687, 440, -0.13478614389896393], [692, 435, -0.06576823443174362], [668, 410, -0.09188243001699448], [702, 403, -0.015024572610855103], [816, 386, -0.0511665903031826], [1004, 378, 0.11570765823125839], [1111, 409, -0.03490447252988815]]"
right_eye_inner,"[[747, 459, -0.18107585608959198], [688, 459, -0.1372988373041153], [684, 442, -0.15066474676132202], [689, 437, -0.08658595383167267], [666, 411, -0.11125276982784271], [705, 405, -0.037283480167388916], [816, 388, -0.0743490606546402], [1015, 379, 0.1031646654009819], [1111, 411, -0.0517839752137661]]"
right_eye,"[[744, 460, -0.18108531832695007], [684, 459, -0.13731127977371216], [681, 442, -0.15064969658851624], [686, 438, -0.0866166204214096], [663, 412, -0.11123895645141602], [703, 405, -0.03732790797948837], [814, 388, -0.07433383166790009], [1015, 380, 0.10314974933862686], [1109, 411, -0.051784321665763855]]"
right_eye_outer,"[[740, 460, -0.18107540905475616], [681, 460, -0.1372980922460556], [678, 442, -0.15065094828605652], [682, 439, -0.08669304847717285], [660, 412, -0.11125903576612473], [701, 405, -0.037355948239564896], [810, 388, -0.07435708492994308], [1015, 380, 0.10309593379497528], [1107, 411, -0.0518002025783062]]"
left_ear,"[[739, 463, -0.08295724540948868], [678, 464, -0.05251828581094742], [672, 448, -0.0551983006298542], [678, 441, -0.008249499835073948], [651, 419, -0.024535737931728363], [684, 412, 0.017782002687454224], [798, 392, 0.016478484496474266], [994, 385, 0.10440266877412796], [1100, 415, 0.008494462817907333]]"
right_ear,"[[724, 468, -0.15083691477775574], [663, 469, -0.1167132630944252], [662, 451, -0.1275702565908432], [666, 448, -0.09876395016908646], [642, 421, -0.11354320496320724], [684, 414, -0.08174480497837067], [792, 395, -0.08765970170497894], [1009, 388, 0.048642463982105255], [1096, 417, -0.06769940257072449]]"
mouth_left,"[[758, 482, -0.1511349231004715], [696, 480, -0.10808685421943665], [694, 466, -0.11899326741695404], [698, 464, -0.053384099155664444], [674, 436, -0.07776354998350143], [711, 429, -0.005713909398764372], [823, 414, -0.03871467337012291], [1010, 399, 0.11597704142332077], [1117, 427, -0.025715667754411697]]"
mouth_right,"[[752, 483, -0.17072802782058716], [690, 482, -0.12661613523960114], [689, 467, -0.13978835940361023], [693, 465, -0.07964648306369781], [669, 437, -0.10342082381248474], [710, 430, -0.03454330936074257], [820, 414, -0.06907293200492859], [1014, 400, 0.09994824975728989], [1115, 428, -0.04780298098921776]]"
left_shoulder,"[[739, 526, 0.019111337140202522], [686, 533, 0.028069118037819862], [665, 517, 0.0520993135869503], [682, 511, 0.07371915131807327], [638, 496, 0.07282431423664093], [643, 481, 0.07044586539268494], [792, 465, 0.1225818395614624], [954, 447, 0.12265595048666], [1089, 464, 0.0757763534784317]]"
right_shoulder,"[[692, 539, -0.16109934449195862], [627, 544, -0.12306544929742813], [627, 526, -0.1513204574584961], [637, 528, -0.1371902972459793], [603, 498, -0.14305298030376434], [671, 500, -0.13126316666603088], [751, 473, -0.12286128103733063], [1017, 451, -0.019087424501776695], [1074, 471, -0.09411122649908066]]"
left_elbow,"[[724, 597, 0.10895181447267532], [684, 604, 0.055208541452884674], [653, 594, 0.16872470080852509], [683, 578, 0.1314542591571808], [618, 566, 0.1898401528596878], [578, 518, 0.13201904296875], [787, 532, 0.2321188598871231], [904, 488, 0.19099602103233337], [1085, 505, 0.1857716590166092]]"
right_elbow,"[[639, 615, -0.19357243180274963], [576, 628, -0.1464141458272934], [557, 601, -0.21859164535999298], [616, 621, -0.1315508782863617], [518, 561, -0.22336827218532562], [661, 598, -0.11093747615814209], [671, 530, -0.20639891922473907], [996, 514, -0.008249485865235329], [1016, 509, -0.15801937878131866]]"
left_wrist,"[[767, 615, 0.1251911222934723], [720, 627, -0.02592744305729866], [715, 599, 0.22188858687877655], [714, 525, 0.1244078055024147], [700, 566, 0.23533254861831665], [626, 533, 0.15183678269386292], [842, 519, 0.2896547317504883], [943, 512, 0.29895713925361633], [1122, 502, 0.2555069029331207]]"
right_wrist,"[[710, 637, -0.221823588013649], [638, 619, -0.1651737093925476], [630, 632, -0.2644825279712677], [690, 607, -0.08288442343473434], [590, 612, -0.2807745337486267], [726, 558, -0.002329781651496887], [744, 585, -0.24590279161930084], [997, 525, 0.07588346302509308], [1068, 539, -0.18824440240859985]]"
left_pinky,"[[784, 623, 0.1321607083082199], [732, 633, -0.03796491399407387], [734, 601, 0.23701661825180054], [726, 511, 0.12510326504707336], [723, 565, 0.24926774203777313], [643, 536, 0.15026040375232697], [856, 514, 0.30662116408348083], [947, 514, 0.31421414017677307], [1131, 497, 0.27159419655799866]]"
right_pinky,"[[729, 645, -0.24005259573459625], [654, 621, -0.18036407232284546], [649, 644, -0.2830122113227844], [708, 600, -0.08896063268184662], [605, 622, -0.3016042709350586], [745, 544, 0.001524927793070674], [761, 597, -0.2646920084953308], [996, 529, 0.08609529584646225], [1079, 545, -0.20167000591754913]]"
left_index,"[[785, 619, 0.11347457766532898], [733, 629, -0.0538870207965374], [732, 597, 0.21958763897418976], [728, 504, 0.12071816623210907], [724, 561, 0.2319766879081726], [651, 540, 0.142098531126976], [854, 507, 0.2930252254009247], [951, 513, 0.31072914600372314], [1130, 497, 0.26045912504196167]]"
right_index,"[[733, 635, -0.2365107238292694], [662, 608, -0.18003234267234802], [656, 634, -0.2797473967075348], [708, 585, -0.09157541394233704], [614, 614, -0.29317960143089294], [742, 535, 0.0031551115680485964], [769, 596, -0.25852343440055847], [995, 523, 0.09114902466535568], [1084, 541, -0.19748468697071075]]"
left_thumb,"[[777, 615, 0.11826033890247345], [728, 628, -0.03478824719786644], [725, 596, 0.21687516570091248], [722, 509, 0.12020041048526764], [711, 560, 0.22995226085186005], [645, 541, 0.14654044806957245], [847, 509, 0.2859876751899719], [949, 512, 0.2992372214794159], [1126, 499, 0.2531479299068451]]"
right_thumb,"[[730, 631, -0.21894793212413788], [659, 608, -0.16292020678520203], [654, 630, -0.26115739345550537], [703, 587, -0.08024796098470688], [610, 609, -0.2759557068347931], [734, 538, 0.0031911495607346296], [766, 591, -0.24157792329788208], [994, 522, 0.08143948763608932], [1082, 538, -0.18493174016475677]]"
left_hip,"[[718, 684, 0.06426302343606949], [664, 692, 0.06059406325221062], [635, 688, 0.07361751049757004], [656, 683, 0.06765272468328476], [593, 675, 0.07769372314214706], [651, 664, 0.07069239765405655], [746, 645, 0.08362604677677155], [957, 607, 0.058982644230127335], [1059, 586, 0.056692615151405334]]"
right_hip,"[[682, 683, -0.06434471905231476], [630, 693, -0.06058790162205696], [615, 687, -0.07375869154930115], [625, 688, -0.06758368015289307], [592, 672, -0.07777877897024155], [636, 674, -0.07069118320941925], [748, 652, -0.08364200592041016], [981, 610, -0.058930568397045135], [1069, 591, -0.05681140720844269]]"
left_knee,"[[751, 798, 0.07454142719507217], [695, 806, 0.057116515934467316], [646, 816, 0.07925880700349808], [735, 791, 0.06711305677890778], [570, 806, 0.1006670743227005], [771, 749, 0.10586249083280563], [664, 773, 0.07892577350139618], [939, 712, 0.00583338737487793], [1004, 669, 0.05012977495789528]]"
right_knee,"[[698, 810, -0.12415889650583267], [679, 807, -0.07719605416059494], [684, 814, -0.12876921892166138], [639, 818, -0.0697995275259018], [699, 770, -0.08964710682630539], [589, 806, -0.07308313995599747], [890, 728, -0.06713052839040756], [1062, 686, -0.01863689348101616], [1159, 648, -0.03755089268088341]]"
left_ankle,"[[717, 892, 0.15437795221805573], [629, 871, 0.16146117448806763], [592, 927, 0.1346287876367569], [607, 786, 0.2109280228614807], [484, 906, 0.17663858830928802], [654, 821, 0.22147893905639648], [554, 880, 0.0684627965092659], [849, 787, -0.026226868852972984], [907, 718, 0.043175723403692245]]"
right_ankle,"[[602, 744, 0.005589754320681095], [590, 764, 0.07654313743114471], [550, 768, 0.006768117658793926], [569, 927, -0.013314585201442242], [571, 799, 0.025121930986642838], [492, 916, -0.06228746101260185], [810, 842, -0.011195979081094265], [1040, 807, -0.008646911941468716], [1159, 748, -0.011467029340565205]]"
left_heel,"[[705, 904, 0.1596999317407608], [611, 877, 0.17099349200725555], [564, 947, 0.13711687922477722], [584, 783, 0.22310131788253784], [462, 917, 0.1821524202823639], [631, 828, 0.23210304975509644], [529, 884, 0.06703992933034897], [822, 804, -0.02880316972732544], [890, 712, 0.04224855825304985]]"
right_heel,"[[592, 725, 0.019176973029971123], [582, 747, 0.09601365774869919], [532, 752, 0.021677741780877113], [542, 945, -0.008644129149615765], [550, 795, 0.036865781992673874], [463, 927, -0.06082431599497795], [784, 854, -0.004843755159527063], [1021, 824, -0.007218526676297188], [1146, 767, -0.009455620311200619]]"
left_foot_index,"[[744, 925, 0.14322517812252045], [656, 912, 0.16594235599040985], [638, 966, 0.11920080333948135], [590, 831, 0.21627885103225708], [504, 948, 0.16529323160648346], [682, 880, 0.23283734917640686], [558, 946, 0.04323370382189751], [862, 843, -0.03454677760601044], [896, 754, 0.021472668275237083]]"
right_foot_index,"[[561, 773, 0.03965236246585846], [556, 802, 0.1100984439253807], [517, 795, 0.031016211956739426], [604, 970, -0.047181982547044754], [565, 871, 0.03431088104844093], [518, 963, -0.09633737057447433], [851, 905, -0.006989738438278437], [1092, 840, -0.00638209842145443], [1206, 769, -0.02455488033592701]]"
